City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Mocuba,MZ,2021-09-26 13:33:33,-16.8392,36.9856,92.88,27,14,11.48
249,Saint George,US,2021-09-26 13:30:41,37.1041,-113.5841,73.35,44,1,1.01
250,Fuerte Olimpo,PY,2021-09-26 13:28:59,-21.0415,-57.8738,95.27,22,55,4.97
251,Tupiza,BO,2021-09-26 13:33:33,-21.45,-65.7167,65.41,6,0,5.61
252,Teavaro,PF,2021-09-26 13:33:34,-17.5,-149.7667,78.28,69,75,2.3
253,Kashi,CN,2021-09-26 13:33:34,39.4547,75.9797,76.21,19,0,2.24
254,Vila Velha,BR,2021-09-26 13:33:35,-20.3297,-40.2925,80.55,56,40,12.66
255,Buraydah,SA,2021-09-26 13:33:35,26.326,43.975,95.45,15,0,9.75
256,Odweyne,SO,2021-09-26 13:33:35,9.4092,45.064,88.83,24,55,8.97
257,Bryukhovetskaya,RU,2021-09-26 13:33:36,45.806,38.9996,64.54,65,100,18.75
258,Belle Glade,US,2021-09-26 13:33:36,26.6845,-80.6676,86.02,75,0,11.41
259,Chimore,BO,2021-09-26 13:33:37,-16.9833,-65.1333,94.77,28,0,4.63
260,Sri Aman,MY,2021-09-26 13:33:37,1.2376,111.4621,80.65,89,100,0.0
261,Fort Nelson,CA,2021-09-26 13:33:37,58.8053,-122.7002,36.99,81,75,2.3
262,Berberati,CF,2021-09-26 13:33:38,4.2612,15.7922,78.73,75,57,4.03
263,Nishihara,JP,2021-09-26 13:33:38,26.1842,127.7558,83.48,80,40,9.22
264,Tessalit,ML,2021-09-26 13:33:39,20.1986,1.0114,102.99,7,0,17.72
265,Colesberg,ZA,2021-09-26 13:33:39,-30.72,25.0972,87.58,7,10,14.54
266,Richards Bay,ZA,2021-09-26 13:33:40,-28.783,32.0377,73.08,74,31,12.1
267,Tiznit,MA,2021-09-26 13:33:40,29.5833,-9.5,91.65,15,5,8.03
268,Mahebourg,MU,2021-09-26 13:33:40,-20.4081,57.7,73.69,83,75,13.8
269,Hami,CN,2021-09-26 13:33:41,42.8,93.45,66.49,18,1,7.38
270,Christchurch,NZ,2021-09-26 13:28:43,-43.5333,172.6333,41.02,84,100,1.14
271,Blagoyevo,RU,2021-09-26 13:33:41,63.3667,47.9167,45.12,94,100,6.82
272,Taikang,CN,2021-09-26 13:33:42,46.8333,124.4167,61.75,94,100,13.73
273,Challans,FR,2021-09-26 13:33:35,46.8436,-1.8749,73.6,71,100,13.31
274,Yerbogachen,RU,2021-09-26 13:33:42,61.2767,108.0108,37.02,70,100,14.56
275,Hofn,IS,2021-09-26 13:33:43,64.2539,-15.2082,41.02,87,90,8.05
276,Longyearbyen,SJ,2021-09-26 13:31:19,78.2186,15.6401,39.04,93,75,6.91
277,Coihaique,CL,2021-09-26 13:33:43,-45.5752,-72.0662,41.61,75,75,8.05
278,Yima,CN,2021-09-26 13:33:44,34.7381,111.8839,62.11,94,100,6.33
