City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,North Bend,US,43.4065,-124.2243,58.95,91,1,16.11,haze
321,Viedma,AR,-40.8135,-62.9967,55.02,44,100,12.91,overcast clouds
322,Saint-Junien,FR,45.8833,0.9,56.34,92,99,4.85,overcast clouds
323,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,2.3,clear sky
324,Sorkjosen,NO,69.8,20.9333,49.24,81,29,17.76,scattered clouds
325,Udachnyy,RU,66.4167,112.4,35.82,42,22,1.07,few clouds
326,Asekeyevo,RU,53.5742,52.7972,43.97,90,98,5.26,overcast clouds
327,Camacha,PT,33.0833,-16.3333,67.42,73,40,9.22,scattered clouds
328,Cidreira,BR,-30.1811,-50.2056,62.15,89,33,8.81,scattered clouds
329,Arraias,BR,-12.9288,-46.9437,80.19,43,52,1.52,broken clouds
330,Komsomolskiy,UZ,40.4272,71.7189,57.92,35,73,2.3,broken clouds
331,Odesskoye,RU,54.2111,72.9651,30.9,89,62,11.68,broken clouds
332,Mount Gambier,AU,-37.8333,140.7667,60.71,77,90,6.91,overcast clouds
333,Chokurdakh,RU,70.6333,147.9167,16.14,84,15,1.12,few clouds
334,Filadelfia,US,39.9523,-75.1638,57.33,84,1,0.0,clear sky
335,Kruisfontein,ZA,-34.0033,24.7314,53.89,89,99,17.2,overcast clouds
336,Luau,AO,-10.7073,22.2247,65.86,89,59,3.51,broken clouds
337,Richards Bay,ZA,-28.783,32.0377,67.28,93,100,6.33,overcast clouds
338,Jalu,LY,29.0331,21.5482,69.39,56,0,8.84,clear sky
339,Khovu-Aksy,RU,51.1333,93.6,31.96,61,21,1.95,few clouds
340,Arman,RU,59.7,150.1667,43.32,91,87,4.63,overcast clouds
341,Bria,CF,6.5423,21.9863,69.53,94,100,2.15,overcast clouds
342,Westport,US,41.1415,-73.3579,62.19,83,1,1.99,clear sky
343,Tigil,RU,57.8,158.6667,50.99,79,96,13.53,light rain
344,Sola,VU,-13.8833,167.55,77.81,86,100,17.09,moderate rain
345,Visby,SE,57.6409,18.296,53.85,87,100,11.5,overcast clouds
